######################     START OF THE TEST    ###################### -2015-11-23 13:11:01,590 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiDeleteBySwipe                     -2015-11-23 13:11:02,869 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,869 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,869 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,871 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testMoreCarCapacitySeats                     -2015-11-23 13:11:02,872 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,873 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,873 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,875 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCompletedStatusPassenger                     -2015-11-23 13:11:02,875 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,878 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,880 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,915 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLocation                     -2015-11-23 13:11:02,922 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,925 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,015 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,080 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLogoutNoVerifyQuickRide                     -2015-11-23 13:11:03,080 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,080 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,080 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,082 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiReject                     -2015-11-23 13:11:03,082 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,082 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,082 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,084 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCarCapacityCancelRide                     -2015-11-23 13:11:03,084 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,084 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,084 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,086 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCancelledStsRider                     -2015-11-23 13:11:03,086 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,086 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,086 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,089 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testpassengercancelRide                     -2015-11-23 13:11:03,089 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,089 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,089 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,097 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiProfile                     -2015-11-23 13:11:03,097 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,135 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,136 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,137 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCancelledStsPassenger                     -2015-11-23 13:11:03,137 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,138 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,138 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,140 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiCountTxt                     -2015-11-23 13:11:03,140 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,140 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,140 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,142 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testPassengerCancelStatus                     -2015-11-23 13:11:03,142 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,142 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,142 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:03,143 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderAcceptsPassengerCancelsSts                     -2015-11-23 13:11:03,143 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:03,143 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:03,143 - com.quickride.baselib.QRTestngListener - INFO
                                                                     -2015-11-23 13:11:03,727 - com.quickride.baselib.QRTestngListener - INFO
######################     END OF THE TEST    ###################### -2015-11-23 13:11:03,727 - com.quickride.baselib.QRTestngListener - INFO
