######################     START OF THE TEST    ###################### -2015-11-23 13:11:01,590 - com.quickride.baselib.QRTestngListener - INFO
___________________________________________________ -2015-11-23 13:11:02,746 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,747 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSignUpIncomplete                     -2015-11-23 13:11:02,747 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,748 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,748 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,750 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderStartedNoti                     -2015-11-23 13:11:02,750 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,751 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,751 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,752 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRechargeJoinRide                     -2015-11-23 13:11:02,753 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,753 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,753 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,754 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSameCompany                     -2015-11-23 13:11:02,754 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,754 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,754 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,756 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testReqstRdCurrentLoc                     -2015-11-23 13:11:02,756 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,756 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,756 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,758 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testScheduledStatusPassenger                     -2015-11-23 13:11:02,758 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,759 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,759 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,761 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testStartRide                     -2015-11-23 13:11:02,761 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,761 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,761 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,763 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testFBLogin                     -2015-11-23 13:11:02,763 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,764 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,764 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,766 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testForgetPassword                     -2015-11-23 13:11:02,766 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,766 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,766 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,768 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testFare                     -2015-11-23 13:11:02,768 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,769 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,769 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,770 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSignUpErrCode                     -2015-11-23 13:11:02,770 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,771 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,771 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,772 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderStartedCancelled                     -2015-11-23 13:11:02,773 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,773 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,773 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,775 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testEncashAmountShareLater                     -2015-11-23 13:11:02,775 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,775 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,775 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,776 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRdrRejectsPassngrSrchRider                     -2015-11-23 13:11:02,776 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,777 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,777 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,778 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testStartedStatusRider                     -2015-11-23 13:11:02,778 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,778 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,778 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,779 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testPassengerCheckIn                     -2015-11-23 13:11:02,779 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,780 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,780 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,781 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLoginOthrUser                     -2015-11-23 13:11:02,781 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,782 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,782 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,783 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testChangePassword                     -2015-11-23 13:11:02,783 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,783 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,784 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,785 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSupportBike                     -2015-11-23 13:11:02,785 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,786 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,786 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,787 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSignUpSameUser                     -2015-11-23 13:11:02,787 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,787 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,787 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,789 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testPassengerJoinsCancels                     -2015-11-23 13:11:02,789 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,790 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,790 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,791 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testEncashAmountShare                     -2015-11-23 13:11:02,791 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,792 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,792 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,793 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRdrRejectsPassngr                     -2015-11-23 13:11:02,794 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,794 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,794 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,795 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testStartedStatusPassenger                     -2015-11-23 13:11:02,796 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,796 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,796 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,797 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testPassengerCheckOut                     -2015-11-23 13:11:02,797 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,798 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,798 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,799 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testUserupdating                     -2015-11-23 13:11:02,799 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,800 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,800 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,801 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLogoutReLogin                     -2015-11-23 13:11:02,801 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,802 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,802 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,810 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRideNotiPassengerJoinsCancels                     -2015-11-23 13:11:02,810 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,810 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,810 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,815 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testBillingCustomisedPricing                     -2015-11-23 13:11:02,815 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,817 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,817 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,823 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testUpcomingRequested                     -2015-11-23 13:11:02,823 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,824 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,824 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,828 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRequestedStatusRider                     -2015-11-23 13:11:02,828 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,829 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,829 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,832 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderStopRide                     -2015-11-23 13:11:02,832 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,832 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,832 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,834 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testUserProfileSocialLinks                     -2015-11-23 13:11:02,834 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,835 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,835 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,837 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testLoginWrongPwd                     -2015-11-23 13:11:02,837 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,838 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,840 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,842 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNotiPassengerJoinsCancelsAfterStart                     -2015-11-23 13:11:02,842 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,843 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,843 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,849 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testBillingZeroPricing                     -2015-11-23 13:11:02,849 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,850 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,850 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,852 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testMyRidesFavourite                     -2015-11-23 13:11:02,852 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,852 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,852 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,854 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRequestedStatusPassenger                     -2015-11-23 13:11:02,854 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-11-23 13:11:02,854 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-11-23 13:11:02,854 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-11-23 13:11:02,856 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderCancelRide                     -2015-11-23 13:11:02,856 - com.quickride.baselib.QRTestngListener - INFO
