######################     START OF THE TEST    ###################### -2015-12-04 17:33:01,078 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,175 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRatingFeedback                     -2015-12-04 17:33:33,175 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,176 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,176 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,183 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testGroupChat                     -2015-12-04 17:33:33,184 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,184 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,184 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,187 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testNewUserSignUP                     -2015-12-04 17:33:33,187 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,187 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,187 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,189 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRiderPassengerJoinNoti                     -2015-12-04 17:33:33,189 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,189 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,189 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,191 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testRecharge                     -2015-12-04 17:33:33,191 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,191 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,191 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,198 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testSameGender                     -2015-12-04 17:33:33,199 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,199 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,199 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,202 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testOffrRdCurrentLoc                     -2015-12-04 17:33:33,202 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,205 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,205 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,207 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testScheduledStatusRider                     -2015-12-04 17:33:33,207 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,212 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,212 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,217 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testCreateMultipleRiders                     -2015-12-04 17:33:33,217 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,218 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,218 - com.quickride.baselib.QRTestngListener - INFO
_____________	   RUNNING TESTCASE 	___________ -2015-12-04 17:33:33,220 - com.quickride.baselib.QRTestngListener - INFO
TESTCASE ID  =  	testGuestSignUp                     -2015-12-04 17:33:33,220 - com.quickride.baselib.QRTestngListener - INFO
TEST STATUS  =   	SKIPPED                     -2015-12-04 17:33:33,221 - com.quickride.baselib.QRTestngListener - ERROR
___________________________________________________ -2015-12-04 17:33:33,221 - com.quickride.baselib.QRTestngListener - INFO
